lmh      1872562  5.4  0.3 129925468 3977460 pts/10 Sl 02:08   0:55 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1873345  6.0  0.0 126873292 925164 pts/10 Sl 02:08   1:00 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1873665  4.1  0.0 126839556 890592 pts/10 Sl 02:08   0:41 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1873985  5.7  0.0 126897484 949524 pts/10 Sl 02:08   0:57 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1874081  4.3  0.0 126880208 932348 pts/10 Sl 02:08   0:44 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1874177  5.1  0.0 126804360 856572 pts/10 Sl 02:08   0:51 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1874305  5.9  0.0 126912568 964344 pts/10 Sl 02:08   0:59 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1876189  2.8  0.2 204051336 2908428 pts/10 Sl 02:10   0:24 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1876221  5.9  1.0 303516252 11423884 pts/10 Sl 02:10   0:52 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1876253  4.3  0.3 277138716 3780308 pts/10 Sl 02:10   0:37 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1876285  5.2  0.5 282655376 6109756 pts/10 Sl 02:10   0:46 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
