subdir,num_chains
4gxu_sp2_rand0.2,8
4nm8_sp2_rand0.2,8
4ftv_sp2_rand0.2,5
4ozg_sp2_rand0.2,5
1lp9_sp2_rand0.2,5
1qab_sp2_rand0.2,5
3h9s_sp2_rand0.2,5
2p5e_sp2_rand0.2,5
3qib_sp2_rand0.2,5
3qdj_sp2_rand0.2,5
5e9d_sp2_rand0.2,5
3qdg_sp2_rand0.2,5
2bnr_sp2_rand0.2,5
1qse_sp2_rand0.2,5
4jfe_sp2_rand0.2,5
3d3v_sp2_rand0.2,5
3pwp_sp2_rand0.2,5
2jcc_sp2_rand0.2,5
1oga_sp2_rand0.2,5
2bnq_sp2_rand0.2,5
3qfj_sp2_rand0.2,5
2uwe_sp2_rand0.2,5
2vlr_sp2_rand0.2,5
1ao7_sp2_rand0.2,5
4l3e_sp2_rand0.2,5
3hg1_sp2_rand0.2,5
2pye_sp2_rand0.2,5
4jfd_sp2_rand0.2,5
2j8u_sp2_rand0.2,5
2ak4_sp2_rand0.2,5
4jff_sp2_rand0.2,5
1mi5_sp2_rand0.2,5
4mnq_sp2_rand0.2,5
1bd2_sp2_rand0.2,5
3c60_sp2_rand0.2,4
4lrx_sp2_rand0.2,4
1n8o_sp2_rand0.2,4
2e7l_sp2_rand0.2,4
1bj1_sp2_rand0.2,4
1dvf_sp2_rand0.2,4
4n8v_sp2_rand0.2,4
4pwx_sp2_rand0.2,4
1cz8_sp2_rand0.2,4
1c4z_sp2_rand0.2,4
1dan_sp2_rand0.2,4
2c5d_sp2_rand0.2,4
3lzf_sp2_rand0.2,4
1cbw_sp2_rand0.2,4
4p23_sp2_rand0.2,4
4jgh_sp2_rand0.2,4
4p5t_sp2_rand0.2,4
2oi9_sp2_rand0.2,4
1cho_sp2_rand0.2,4
1nmb_sp2_rand0.2,3
3hh2_sp2_rand0.2,3
1xgt_sp2_rand0.2,3
2qja_sp2_rand0.2,3
1yqv_sp2_rand0.2,3
2b0u_sp2_rand0.2,3
3g6d_sp2_rand0.2,3
3aaa_sp2_rand0.2,3
3b4v_sp2_rand0.2,3
2ny7_sp2_rand0.2,3
3se3_sp2_rand0.2,3
2jel_sp2_rand0.2,3
4jpk_sp2_rand0.2,3
3hfm_sp2_rand0.2,3
4i77_sp2_rand0.2,3
2qj9_sp2_rand0.2,3
3sek_sp2_rand0.2,3
3l5x_sp2_rand0.2,3
4j2l_sp2_rand0.2,3
3szk_sp2_rand0.2,3
1jrh_sp2_rand0.2,3
4hfk_sp2_rand0.2,3
2qjb_sp2_rand0.2,3
3bn9_sp2_rand0.2,3
1nca_sp2_rand0.2,3
1dqj_sp2_rand0.2,3
2vis_sp2_rand0.2,3
1n8z_sp2_rand0.2,3
2bdn_sp2_rand0.2,3
2b2x_sp2_rand0.2,3
2vir_sp2_rand0.2,3
4hsa_sp2_rand0.2,3
4e6k_sp2_rand0.2,3
4b0m_sp2_rand0.2,3
3nps_sp2_rand0.2,3
3se9_sp2_rand0.2,3
3r9a_sp2_rand0.2,3
1xgp_sp2_rand0.2,3
1rew_sp2_rand0.2,3
1ahw_sp2_rand0.2,3
3w2d_sp2_rand0.2,3
4u6h_sp2_rand0.2,3
3be1_sp2_rand0.2,3
3se8_sp2_rand0.2,3
4zs6_sp2_rand0.2,3
4nkq_sp2_rand0.2,3
1xgq_sp2_rand0.2,3
1u7f_sp2_rand0.2,3
5c6t_sp2_rand0.2,3
4x4m_sp2_rand0.2,3
1mlc_sp2_rand0.2,3
1mhp_sp2_rand0.2,3
3bdy_sp2_rand0.2,3
3idx_sp2_rand0.2,3
1kiq_sp2_rand0.2,3
2nyy_sp2_rand0.2,3
1yy9_sp2_rand0.2,3
2nz9_sp2_rand0.2,3
1gcq_sp2_rand0.2,3
1xgu_sp2_rand0.2,3
1xgr_sp2_rand0.2,3
3n85_sp2_rand0.2,3
3ngb_sp2_rand0.2,3
1kip_sp2_rand0.2,3
3se4_sp2_rand0.2,3
1kir_sp2_rand0.2,3
1vfb_sp2_rand0.2,3
4k71_sp2_rand0.2,3
4bfi_sp2_rand0.2,2
3tgk_sp2_rand0.2,2
1z7x_sp2_rand0.2,2
3q3j_sp2_rand0.2,2
3n4i_sp2_rand0.2,2
3n06_sp2_rand0.2,2
3mzg_sp2_rand0.2,2
3s9d_sp2_rand0.2,2
3ncc_sp2_rand0.2,2
3rf3_sp2_rand0.2,2
3lb6_sp2_rand0.2,2
4hrn_sp2_rand0.2,2
3n0p_sp2_rand0.2,2
3sf4_sp2_rand0.2,2
3wwn_sp2_rand0.2,2
4g0n_sp2_rand0.2,2
4g2v_sp2_rand0.2,2
4cpa_sp2_rand0.2,2
3q8d_sp2_rand0.2,2
3kbh_sp2_rand0.2,2
3qhy_sp2_rand0.2,2
4y61_sp2_rand0.2,2
4ra0_sp2_rand0.2,2
5f4e_sp2_rand0.2,2
3nvn_sp2_rand0.2,2
4yeb_sp2_rand0.2,2
4ofy_sp2_rand0.2,2
4krp_sp2_rand0.2,2
4o27_sp2_rand0.2,2
4nzw_sp2_rand0.2,2
4gu0_sp2_rand0.2,2
5e6p_sp2_rand0.2,2
4myw_sp2_rand0.2,2
3nvq_sp2_rand0.2,2
5cxb_sp2_rand0.2,2
4cvw_sp2_rand0.2,2
4yfd_sp2_rand0.2,2
4yh7_sp2_rand0.2,2
3m62_sp2_rand0.2,2
5cyk_sp2_rand0.2,2
3m63_sp2_rand0.2,2
4gnk_sp2_rand0.2,2
4jeu_sp2_rand0.2,2
1he8_sp2_rand0.2,2
4krl_sp2_rand0.2,2
5m2o_sp2_rand0.2,2
3ncb_sp2_rand0.2,2
4ekd_sp2_rand0.2,2
4l0p_sp2_rand0.2,2
3f1s_sp2_rand0.2,2
2ajf_sp2_rand0.2,2
3eg5_sp2_rand0.2,2
4uyp_sp2_rand0.2,2
3u82_sp2_rand0.2,2
5xco_sp2_rand0.2,2
4uyq_sp2_rand0.2,2
4fza_sp2_rand0.2,2
5ufq_sp2_rand0.2,2
5tar_sp2_rand0.2,2
3bt1_sp2_rand0.2,2
5ufe_sp2_rand0.2,2
3mzw_sp2_rand0.2,2
4wnd_sp2_rand0.2,2
4rs1_sp2_rand0.2,2
5k39_sp2_rand0.2,2
4kro_sp2_rand0.2,2
3bp8_sp2_rand0.2,2
3btg_sp2_rand0.2,2
3bx1_sp2_rand0.2,2
2dsq_sp2_rand0.2,2
1cse_sp2_rand0.2,2
1ak4_sp2_rand0.2,2
1acb_sp2_rand0.2,2
1wqj_sp2_rand0.2,2
1sib_sp2_rand0.2,2
1eaw_sp2_rand0.2,2
1sbn_sp2_rand0.2,2
1r0r_sp2_rand0.2,2
1x1w_sp2_rand0.2,2
1tm4_sp2_rand0.2,2
1iar_sp2_rand0.2,2
1x1x_sp2_rand0.2,2
1tm3_sp2_rand0.2,2
1m9e_sp2_rand0.2,2
1kac_sp2_rand0.2,2
2aw2_sp2_rand0.2,2
1tm1_sp2_rand0.2,2
1p69_sp2_rand0.2,2
2ccl_sp2_rand0.2,2
1y3b_sp2_rand0.2,2
1xd3_sp2_rand0.2,2
2gyk_sp2_rand0.2,2
1e96_sp2_rand0.2,2
1a22_sp2_rand0.2,2
1y3d_sp2_rand0.2,2
1tm7_sp2_rand0.2,2
2i26_sp2_rand0.2,2
2kso_sp2_rand0.2,2
1mq8_sp2_rand0.2,2
1uuz_sp2_rand0.2,2
1to1_sp2_rand0.2,2
1y34_sp2_rand0.2,2
1tm5_sp2_rand0.2,2
1y48_sp2_rand0.2,2
1p6a_sp2_rand0.2,2
1h9d_sp2_rand0.2,2
1bp3_sp2_rand0.2,2
1cso_sp2_rand0.2,2
1b3s_sp2_rand0.2,2
1fr2_sp2_rand0.2,2
1b2u_sp2_rand0.2,2
1s1q_sp2_rand0.2,2
1sgd_sp2_rand0.2,2
1ffw_sp2_rand0.2,2
1sge_sp2_rand0.2,2
1sgq_sp2_rand0.2,2
1sgn_sp2_rand0.2,2
1ktz_sp2_rand0.2,2
1sgy_sp2_rand0.2,2
1brs_sp2_rand0.2,2
1f47_sp2_rand0.2,2
1efn_sp2_rand0.2,2
1ohz_sp2_rand0.2,2
1ct0_sp2_rand0.2,2
1b2s_sp2_rand0.2,2
1f5r_sp2_rand0.2,2
1ct2_sp2_rand0.2,2
1k8r_sp2_rand0.2,2
1gl0_sp2_rand0.2,2
1gl1_sp2_rand0.2,2
1ppf_sp2_rand0.2,2
1fc2_sp2_rand0.2,2
1smf_sp2_rand0.2,2
1e50_sp2_rand0.2,2
1gua_sp2_rand0.2,2
1lfd_sp2_rand0.2,2
1fcc_sp2_rand0.2,2
1c1y_sp2_rand0.2,2
1sgp_sp2_rand0.2,2
1fy8_sp2_rand0.2,2
1emv_sp2_rand0.2,2
1ct4_sp2_rand0.2,2
1tmg_sp2_rand0.2,2
2oob_sp2_rand0.2,2
3uii_sp2_rand0.2,2
3btw_sp2_rand0.2,2
2rex_sp2_rand0.2,2
